div_and_fold,fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,dataset,trap_ID,trace,lineage_ID,generation
,0.012792432069972715,,-0.2780015022721498,-0.02499999999999991,-0.3816636483251603,-0.6596651505973119,0.06241201598766444,NL,1,A,1,0
-0.0019027515701594555,-0.030163470302238538,0.020596160125266105,-0.3813658304060934,-0.07499999999999996,-0.248344398197061,-0.6297102286031562,0.10304236792485066,NL,1,A,1,1
0.029963023788022125,0.07106346315332579,-0.012188424859827851,0.02761499772579823,0.07499999999999996,-0.3890884376971848,-0.36147343997138837,-0.0426204849327283,NL,1,A,1,2
-0.03287779870939361,-0.04633887745214982,-0.01384166842699297,-0.4295438584405171,-0.025000000000000133,-0.25630280880242173,-0.6858466672429406,-0.0450994558707396,NL,1,A,1,3
0.06527921021943334,0.14398611956252327,-0.015890721894799564,0.35104185292297885,0.12499999999999933,-0.43620993927866714,-0.08516808635569006,-0.02133019476928033,NL,1,A,1,4
-0.03297515096914161,-0.021688453434686727,-0.033539188296880185,-0.354698141658647,-0.12500000000000067,-0.2166916254167739,-0.5713897670754227,0.2669926186031095,NL,1,A,1,5
0.02140298227998272,0.04719491976255974,-0.006709405185631456,-0.07929997926891641,-0.025000000000000133,-0.331755078508432,-0.4110550577773502,0.1249619936105506,NL,1,A,1,6
-0.006009473160031309,-0.013968948235742795,0.0009304360896602581,-0.27760154056656505,-0.07499999999999996,-0.2081227810742443,-0.48572432164081114,0.13543141205784215,NL,1,A,1,7
0.037329704975716305,0.1386502510433698,-0.04650622274752059,0.30936458033915093,0.22499999999999987,-0.48310745553592005,-0.1737428751967709,-0.17570994992561562,NL,1,A,1,8
0.01671961296446628,0.009162883767761199,0.01573722805783051,0.0920713231910768,0.0750000000000004,-0.0022333977959099194,0.08983792539516511,-0.1378521455259054,NL,1,A,1,9
0.10669785502466617,0.19846844383039397,-0.00120620013735373,1.3400211071043424,0.3250000000000004,0.05026308619625652,1.3902841933005972,-0.2233896913736788,NL,1,A,1,10
-0.07968369854735297,-0.13929690181812826,-0.01023155309735857,-0.23985540707716124,-0.07499999999999996,0.6873724919966393,0.4475170849194763,-0.11522449510692878,NL,1,A,1,11
0.010317255451245066,-0.0011236323223337008,0.014708903314054278,0.30984630780959277,0.02499999999999969,0.3360324315842518,0.6458787393938428,-0.06623322190085257,NL,1,A,1,12
-0.06822651034746946,-0.12297418255997572,-0.005171490000255297,-0.39047562660919066,-0.07499999999999996,0.32490306987735096,-0.06557255673184148,-0.0825790565906237,NL,1,A,1,13
0.00028993058384230164,-0.03835175064866281,0.031095795973403728,-0.07889456997520705,-0.02500000000000102,0.14016063557919134,0.06126606560398251,-0.03057740713712498,NL,1,A,1,14
0.03914393445386305,0.06253150069973235,0.006144461687811575,0.44777941191540327,0.0750000000000004,0.07530251946931665,0.5230819313847181,-0.055746581015180485,NL,1,A,1,15
-0.0018758190423253107,0.005443890046626931,-0.008273080868755334,0.19512399283014048,-0.07499999999999996,0.24093942788794642,0.4360634207180851,0.1742570886225816,NL,1,A,1,16
-0.03148255939117983,-0.022290342436983357,-0.030820905886166816,-0.06207395940574223,-0.02500000000000102,0.06245504225026366,0.00038108284451965346,-0.0013748467522531893,NL,1,A,1,17
